"id_receita","receitas_concatenadas"
151,"jogos americanos, Agulha de Crochê 4,0 mm, jogos americanos, Lã algodão 8 - Vermelho, jogos americanos, Barbante 4 - Azul Claro, coletes, Agulha de Crochê 4,0 mm, coletes, Lã algodão 8 - Vermelho, coletes, Barbante 4 - Azul Claro"
152,"colares, Agulha de Crochê 4,0 mm, colares, Barbante 4 - Cinza Escuro, porta-copos, Agulha de Crochê 4,0 mm, porta-copos, Barbante 4 - Cinza Escuro"
153,"jogos americanos, Agulha de Crochê 4,0 mm, jogos americanos, Lã algodão 8 - Azul"
154,"biquinis, Mini Árvores de Natal, biquinis, Barbante 4 - Vermelho Claro"
155,"cintos, Agulha de Crochê 4,0 mm, cintos, Barbante 8 - Cinza Escuro"
156,"cestas organizadoras, Pequenas Caixas de Presente, cestas organizadoras, Lã Amigurumi  Pelúcia - Azul, cestas organizadoras, Lã Amigurumi Soft - Cinza Claro, mobiles para berco, Pequenas Caixas de Presente, mobiles para berco, Lã Amigurumi  Pelúcia - Azul, mobiles para berco, Lã Amigurumi Soft - Cinza Claro"
157,"porta-sabonetes, Agulha de Crochê 4,0 mm, porta-sabonetes, Lã algodão 4 - Preto"
158,"tapetes, Lã Amigurumi Soft - Amarelo Claro, tapetes, Lã Amigurumi Soft - Verde Escuro, cestas organizadoras, Lã Amigurumi Soft - Amarelo Claro, cestas organizadoras, Lã Amigurumi Soft - Verde Escuro"
159,"panos de prato, Boca de Gato 10mm, panos de prato, Óculos de Natação, panos de prato, Lã Amigurumi  Pelúcia - Amarelo, panos de prato, Lã Amigurumi  Pelúcia - Cinza Claro"
160,"bichinhos, Lã Amigurumi  Pelúcia - Cinza Escuro, bichinhos, Lã Amigurumi  Pelúcia - Laranja Escuro"
161,"capas para almofadas, Focinho de Cachorro 10mm, capas para almofadas, Olhos de Cachorro de Pelúcia 10mm"
162,"amigurumis, Pequenas Caixas de Presente, amigurumis, Barbante Natural 6 - Roxo Claro"
163,"xales, Olhos de Cachorro de Pelúcia 10mm, xales, Olhos de Cachorro de Botão 6mm, xales, Lã Amigurumi Soft - Amarelo, xales, Lã Amigurumi  Pelúcia - Cinza Claro, porta-toalhas, Olhos de Cachorro de Pelúcia 10mm, porta-toalhas, Olhos de Cachorro de Botão 6mm, porta-toalhas, Lã Amigurumi Soft - Amarelo, porta-toalhas, Lã Amigurumi  Pelúcia - Cinza Claro"
164,"gorros, Agulha de Crochê 4,0 mm, gorros, Lã algodão 4 - Roxo Escuro, cintos, Agulha de Crochê 4,0 mm, cintos, Lã algodão 4 - Roxo Escuro"
165,"cortinas, Focinho de Gato 10mm, cortinas, Lã Amigurumi Soft - Branco, capas para almofadas, Focinho de Gato 10mm, capas para almofadas, Lã Amigurumi Soft - Branco"
166,"xales, Agulha de Crochê 4,0 mm, xales, Lã algodão 8 - Cinza, cachecois, Agulha de Crochê 4,0 mm, cachecois, Lã algodão 8 - Cinza"
167,"mochilas, Lã algodão 8 - Rosa Claro, mochilas, Lã algodão 4 - Rosa Escuro"
168,"mobiles para berco, Olhos de Cachorro de Botão 8mm, mobiles para berco, Focinho de Gato 10mm, mobiles para berco, Lã Amigurumi  Pelúcia - Cinza Claro, mobiles para berco, Lã Amigurumi  Pelúcia - Vermelho Escuro"
169,"meias, Botas de Natal, meias, Lã Amigurumi Soft - Cinza Claro, golas, Botas de Natal, golas, Lã Amigurumi Soft - Cinza Claro"
170,"bonecos, Óculos de Segurança, bonecos, Focinho de Urso 15mm, bonecos, Lã Amigurumi  Pelúcia - Rosa Escuro, bonecos, Lã Amigurumi  Pelúcia - Azul Escuro"
171,"chaveiros, Agulha de Crochê 4,0 mm, chaveiros, Barbante 4 - Azul Claro, chaveiros, Barbante 4 - Roxo Escuro, cintos, Agulha de Crochê 4,0 mm, cintos, Barbante 4 - Azul Claro, cintos, Barbante 4 - Roxo Escuro"
172,"tapetes de banheiro, Focinho de Gato 10mm, tapetes de banheiro, Lã Amigurumi Soft - Marrom, babadores, Focinho de Gato 10mm, babadores, Lã Amigurumi Soft - Marrom"
173,"capas para tampa de vaso, Boca de Sorriso 20mm, capas para tampa de vaso, Lã Amigurumi  Pelúcia - Branco, toucas e sapatinhos para bebe, Boca de Sorriso 20mm, toucas e sapatinhos para bebe, Lã Amigurumi  Pelúcia - Branco"
174,"almofadas, Boca de Cachorro 12mm, almofadas, Focinho de Urso 15mm, almofadas, Lã Amigurumi  Pelúcia - Marrom, almofadas, Lã Amigurumi  Pelúcia - Azul Escuro, bolsas, Boca de Cachorro 12mm, bolsas, Focinho de Urso 15mm, bolsas, Lã Amigurumi  Pelúcia - Marrom, bolsas, Lã Amigurumi  Pelúcia - Azul Escuro"
175,"bonecos, Boca de Boneca 12mm, bonecos, Lã Amigurumi Soft - Azul, bonecos, Lã Amigurumi  Pelúcia - Marrom"
176,"biquinis, Agulha de Crochê 4,0 mm, biquinis, Barbante 4 - Azul Claro"
177,"chaveiros, Focinho de Gato 8mm, chaveiros, Lã Amigurumi  Pelúcia - Verde Escuro, chapeus, Focinho de Gato 8mm, chapeus, Lã Amigurumi  Pelúcia - Verde Escuro"
178,"xales, Boca de Cachorro 12mm, xales, Chapéu de Páscoa"
179,"blusas, Botão Pequeno Metálico, blusas, Botão Pequeno Iridescente"
180,"enfeites para carrinho de bebe, Focinho de Cachorro 12mm, enfeites para carrinho de bebe, Lã Amigurumi Soft - Azul Escuro, coletes, Focinho de Cachorro 12mm, coletes, Lã Amigurumi Soft - Azul Escuro"
181,"porta-talheres, Chapéu de Palha, porta-talheres, Lã Amigurumi  Pelúcia - Roxo, conjuntos de lingerie, Chapéu de Palha, conjuntos de lingerie, Lã Amigurumi  Pelúcia - Roxo"
182,"top cropped, Chapéu de Festa"
183,"saidas de praia, Lã Amigurumi Soft - Cinza, saidas de praia, Lã Amigurumi  Pelúcia - Roxo Escuro, capas para almofadas, Lã Amigurumi Soft - Cinza, capas para almofadas, Lã Amigurumi  Pelúcia - Roxo Escuro"
184,"chaveiros, Agulha de Crochê 4,0 mm, chaveiros, Barbante 4 - Rosa Claro, chaveiros, Lã algodão 8 - Cinza Claro, capas para tampa de vaso, Agulha de Crochê 4,0 mm, capas para tampa de vaso, Barbante 4 - Rosa Claro, capas para tampa de vaso, Lã algodão 8 - Cinza Claro"
185,"cestas organizadoras, Olhos de Cachorro de Botão 6mm, cestas organizadoras, Chapéu de Inverno, cestas organizadoras, Lã Amigurumi Soft - Rosa, animais de pelucia, Olhos de Cachorro de Botão 6mm, animais de pelucia, Chapéu de Inverno, animais de pelucia, Lã Amigurumi Soft - Rosa"
186,"capas para livros, Botão Pequeno Transparente"
187,"coletes, Óculos de Natação, coletes, Boca de Sorriso 15mm, coletes, Lã Amigurumi Soft - Vermelho, cintos, Óculos de Natação, cintos, Boca de Sorriso 15mm, cintos, Lã Amigurumi Soft - Vermelho"
188,"top cropped, Mini Árvores de Natal"
189,"tapetes, Agulha de Crochê 4,0 mm, tapetes, Barbante 4 - Vermelho Claro, chaveiros, Agulha de Crochê 4,0 mm, chaveiros, Barbante 4 - Vermelho Claro"
190,"mantas para bebe, Agulha de Crochê 4,0 mm, mantas para bebe, Barbante 8 - Branco"
191,"porta-copos, Agulha de Crochê 4,0 mm, porta-copos, Barbante 8 - Branco, bichinhos, Agulha de Crochê 4,0 mm, bichinhos, Barbante 8 - Branco"
192,"porta-sabonetes, Óculos de Natação, porta-sabonetes, Lã Amigurumi Soft - Verde Claro, mobiles para berco, Óculos de Natação, mobiles para berco, Lã Amigurumi Soft - Verde Claro"
193,"jogos americanos, Lã Amigurumi  Pelúcia - Laranja Claro, jogos americanos, Lã Amigurumi  Pelúcia - Rosa Escuro"
194,"conjuntos de lingerie, Bolinhas decorativas, conjuntos de lingerie, Lã algodão 2 - Cinza Claro, conjuntos de lingerie, Barbante Natural 8 - Laranja"
195,"capas para almofadas de agulhas de trico, Focinho de Porco 18mm, capas para almofadas de agulhas de trico, Óculos de Leitura, capas para almofadas de agulhas de trico, Lã Amigurumi Soft - Cinza Escuro"
196,"enfeites para carrinho de bebe, Botão Pequeno Metálico, biquinis, Botão Pequeno Metálico"
197,"bolsas de tablet/laptop, Agulha de Crochê 4,0 mm, bolsas de tablet/laptop, Lã algodão 4 - Laranja"
198,"panos de prato, Lã Amigurumi  Pelúcia - Verde"
199,"diversos, outros, Olhos de Cachorro de Pelúcia 10mm, diversos, outros, Olhos de Cachorro de Botão 6mm, diversos, outros, Lã Amigurumi Soft - Roxo, diversos, outros, Lã Amigurumi  Pelúcia - Verde Escuro"
200,"porta-talheres, Barbante Natural 6 - Amarelo, porta-talheres, Lã Amigurumi  Brilho - Roxo Claro"
201,"toucas e sapatinhos para bebe, Boca de Cachorro 12mm, toucas e sapatinhos para bebe, Lã Amigurumi Soft - Azul, toucas e sapatinhos para bebe, Lã Amigurumi Soft - Cinza Claro, chaveiros, Boca de Cachorro 12mm, chaveiros, Lã Amigurumi Soft - Azul, chaveiros, Lã Amigurumi Soft - Cinza Claro"
202,"tapetes, Focinho de Gato 10mm, tapetes, Lã Amigurumi  Pelúcia - Cinza Escuro, cortinas, Focinho de Gato 10mm, cortinas, Lã Amigurumi  Pelúcia - Cinza Escuro"
203,"toalhas de mesa, Lã algodão 6 - Azul Claro, cestas organizadoras, Lã algodão 6 - Azul Claro"
204,"chapeus, Agulha de Crochê 4,0 mm, chapeus, Barbante 4 - Vermelho Claro, chapeus, Barbante 4 - Azul Escuro, amigurumis, Agulha de Crochê 4,0 mm, amigurumis, Barbante 4 - Vermelho Claro, amigurumis, Barbante 4 - Azul Escuro"
205,"chaveiros, Agulha de Crochê 4,0 mm, chaveiros, Barbante 4 - Rosa Escuro, top cropped, Agulha de Crochê 4,0 mm, top cropped, Barbante 4 - Rosa Escuro"
206,"jogos americanos, Focinho de Cachorro 12mm, jogos americanos, Óculos de Esportes, jogos americanos, Lã Amigurumi  Pelúcia - Vermelho, jogos americanos, Lã Amigurumi Soft - Preto, cachecois, Focinho de Cachorro 12mm, cachecois, Óculos de Esportes, cachecois, Lã Amigurumi  Pelúcia - Vermelho, cachecois, Lã Amigurumi Soft - Preto"
207,"porta-shampoo, Chapéu de Sol, porta-shampoo, Lã Amigurumi Soft - Amarelo, capas para almofadas de agulhas de trico, Chapéu de Sol, capas para almofadas de agulhas de trico, Lã Amigurumi Soft - Amarelo"
208,"babadores, Boca de Boneca 12mm, babadores, Lã Amigurumi Soft - Laranja"
209,"chapeus, Agulha de Crochê 4,0 mm, chapeus, Lã algodão 8 - Roxo Escuro, chapeus, Barbante 4 - Verde Claro, capas para garrafas de agua quente, Agulha de Crochê 4,0 mm, capas para garrafas de agua quente, Lã algodão 8 - Roxo Escuro, capas para garrafas de agua quente, Barbante 4 - Verde Claro"
210,"enfeites para carrinho de bebe, Bolinhas decorativas, enfeites para carrinho de bebe, Lã Amigurumi  Pelúcia - Laranja Claro"
211,"gorros, Mini Gorros de Papai Noel, gorros, Lã Amigurumi  Brilho - Amarelo Claro"
212,"almofadas, Agulha de Crochê 4,0 mm, almofadas, Lã algodão 4 - Marrom, almofadas, Lã algodão 4 - Laranja Claro, capas para livros, Agulha de Crochê 4,0 mm, capas para livros, Lã algodão 4 - Marrom, capas para livros, Lã algodão 4 - Laranja Claro"
213,"porta-shampoo, Lã algodão 4 - Marrom, saidas de praia, Lã algodão 4 - Marrom"
214,"tapetes de banheiro, Bolinhas decorativas, tapetes de banheiro, Lã Amigurumi  Pelúcia - Rosa Escuro, tapetes de banheiro, Lã algodão 8 - Preto, animais de pelucia, Bolinhas decorativas, animais de pelucia, Lã Amigurumi  Pelúcia - Rosa Escuro, animais de pelucia, Lã algodão 8 - Preto"
215,"vestidos, Agulha de Crochê 4,0 mm, vestidos, Lã algodão 8 - Vermelho Claro, blusas, Agulha de Crochê 4,0 mm, blusas, Lã algodão 8 - Vermelho Claro"
216,"jogos americanos, Lã Amigurumi Soft - Cinza, jogos americanos, Lã algodão 8 - Rosa Claro"
217,"capas para almofadas, Bolinhas decorativas, capas para almofadas, Lã algodão 2 - Vermelho Claro, capas para almofadas, Lã Amigurumi  - Rosa, capas para tampa de vaso, Bolinhas decorativas, capas para tampa de vaso, Lã algodão 2 - Vermelho Claro, capas para tampa de vaso, Lã Amigurumi  - Rosa"
218,"capas para garrafas de agua quente, Mini Árvores de Natal, porta-shampoo, Mini Árvores de Natal"
219,"bolsas, Agulha de Crochê 4,0 mm, bolsas, Lã algodão 8 - Roxo Escuro, bolsas, Lã algodão 4 - Vermelho Claro"
220,"meias, Mini Árvores de Natal, meias, Lã algodão 8 - Amarelo, meias, Lã Amigurumi  Brilho - Amarelo"
221,"coletes, Agulha de Crochê 4,0 mm, coletes, Lã algodão 8 - Marrom, toalhas de mesa, Agulha de Crochê 4,0 mm, toalhas de mesa, Lã algodão 8 - Marrom"
222,"mobiles para berco, Botão Pequeno Roxo, saidas de praia, Botão Pequeno Roxo"
223,"biquinis, Óculos de Mergulho, biquinis, Lã Amigurumi  Pelúcia - Verde Claro, biquinis, Lã Amigurumi  Pelúcia - Verde Escuro"
224,"toalhas de mesa, Boca de Boneca 15mm, toalhas de mesa, Lã Amigurumi Soft - Azul"
225,"bonecos, Boca de Sorriso 20mm, bonecos, Lã Amigurumi  Pelúcia - Vermelho Claro, bonecos, Lã Amigurumi  Pelúcia - Amarelo Escuro, xales, Boca de Sorriso 20mm, xales, Lã Amigurumi  Pelúcia - Vermelho Claro, xales, Lã Amigurumi  Pelúcia - Amarelo Escuro"
226,"top cropped, Agulha de Crochê 8,0 mm, top cropped, Agulha de Crochê Tunisiano 4,0 mm"
227,"bolsas de tablet/laptop, Agulha de Crochê 4,0 mm, bolsas de tablet/laptop, Lã algodão 8 - Azul Claro, mochilas, Agulha de Crochê 4,0 mm, mochilas, Lã algodão 8 - Azul Claro"
228,"porta-copos, Boca de Boneca 12mm, porta-copos, Boca de Cachorro 12mm, porta-copos, Lã Amigurumi Soft - Azul Claro"
229,"cestas organizadoras, Agulha de Crochê 4,0 mm, cestas organizadoras, Lã algodão 8 - Roxo, blusas, Agulha de Crochê 4,0 mm, blusas, Lã algodão 8 - Roxo"
230,"jogos americanos, Óculos de Sol, jogos americanos, Lã Amigurumi Soft - Cinza"
231,"animais de pelucia, Óculos de Mergulho, animais de pelucia, Chapéu de Inverno, animais de pelucia, Lã Amigurumi  Pelúcia - Amarelo Claro"
232,"jogos americanos, Agulha de Crochê 4,0 mm, jogos americanos, Lã algodão 4 - Azul, jogos americanos, Lã algodão 8 - Branco"
233,"chapeus, Bolinhas decorativas, chapeus, Lã Amigurumi  - Roxo Escuro"
234,"golas, Lã Amigurumi Soft - Amarelo Claro, golas, Lã Amigurumi  Pelúcia - Amarelo Escuro, animais de pelucia, Lã Amigurumi Soft - Amarelo Claro, animais de pelucia, Lã Amigurumi  Pelúcia - Amarelo Escuro"
235,"meias, Agulha de Crochê 4,0 mm, meias, Lã algodão 4 - Verde Escuro, porta-copos, Agulha de Crochê 4,0 mm, porta-copos, Lã algodão 4 - Verde Escuro"
236,"porta-copos, Agulha de Crochê Tunisiano 2,5 mm, cestas organizadoras, Agulha de Crochê Tunisiano 2,5 mm"
237,"capas para garrafas de agua quente, Agulha de Crochê 4,0 mm, capas para garrafas de agua quente, Barbante 8 - Azul Escuro, porta-sabonetes, Agulha de Crochê 4,0 mm, porta-sabonetes, Barbante 8 - Azul Escuro"
238,"tapetes, Olhos de Cachorro de Botão 8mm, tapetes, Lã Amigurumi  Pelúcia - Azul Escuro, tapetes, Lã Amigurumi  Pelúcia - Verde"
239,"cortinas, Lã Amigurumi Soft - Cinza, cortinas, Lã Amigurumi Soft - Azul Escuro, bichinhos, Lã Amigurumi Soft - Cinza, bichinhos, Lã Amigurumi Soft - Azul Escuro"
240,"porta-shampoo, Óculos de Esportes, porta-shampoo, Olhos de Cachorro de Botão 6mm, porta-shampoo, Lã Amigurumi Soft - Laranja Escuro"
241,"tapetes de banheiro, Óculos de Leitura, tapetes de banheiro, Lã Amigurumi  Pelúcia - Verde Claro, toucas e sapatinhos para bebe, Óculos de Leitura, toucas e sapatinhos para bebe, Lã Amigurumi  Pelúcia - Verde Claro"
242,"tapetes, Agulha de Crochê Tunisiano 9,0 mm, tapetes, Agulha de Crochê Tunisiano 3,5 mm"
243,"biquinis, Agulha de Crochê 4,0 mm, biquinis, Barbante 4 - Vermelho Claro"
244,"bichinhos, Óculos de Mergulho, bichinhos, Lã Amigurumi  Pelúcia - Rosa"
245,"capas para livros, Olhos de Cachorro de Pelúcia 10mm, capas para livros, Lã Amigurumi  Pelúcia - Amarelo Claro, capas para livros, Lã Amigurumi Soft - Vermelho Claro"
246,"capas para almofadas, Chapéu de Festa, capas para almofadas, Óculos de Esportes"
247,"capas para livros, Olhos de Gato de Plástico 6mm, capas para livros, Espuma"
248,"jogos americanos, Óculos de Leitura, jogos americanos, Olhos de Cachorro de Botão 6mm, jogos americanos, Lã Amigurumi  Pelúcia - Rosa Escuro, jogos americanos, Lã Amigurumi Soft - Azul"
249,"coletes, Agulha de Crochê 4,0 mm, coletes, Lã algodão 8 - Amarelo, cachecois, Agulha de Crochê 4,0 mm, cachecois, Lã algodão 8 - Amarelo"
250,"cortinas, Óculos de Esportes, cortinas, Boca de Sorriso 15mm, cortinas, Lã Amigurumi  Pelúcia - Marrom, cortinas, Lã Amigurumi Soft - Azul Escuro"
251,"cestas organizadoras, Óculos de Mergulho, cestas organizadoras, Boca de Sorriso 15mm, cestas organizadoras, Lã Amigurumi Soft - Laranja Escuro, enfeites para carrinho de bebe, Óculos de Mergulho, enfeites para carrinho de bebe, Boca de Sorriso 15mm, enfeites para carrinho de bebe, Lã Amigurumi Soft - Laranja Escuro"
252,"mochilas, Chapéu de Sol, mochilas, Chapéu de Palha, mochilas, Lã Amigurumi  Pelúcia - Azul Escuro, mochilas, Lã Amigurumi Soft - Roxo Escuro"
253,"mantas para bebe, Focinho de Porco 18mm, mantas para bebe, Boca de Boneca 15mm, mantas para bebe, Lã Amigurumi Soft - Roxo Escuro, conjuntos de lingerie, Focinho de Porco 18mm, conjuntos de lingerie, Boca de Boneca 15mm, conjuntos de lingerie, Lã Amigurumi Soft - Roxo Escuro"
254,"cachecois, Guirlandas, cachecois, Barbante 6 - Rosa Escuro, cachecois, Lã algodão 6 - Rosa, porta-toalhas, Guirlandas, porta-toalhas, Barbante 6 - Rosa Escuro, porta-toalhas, Lã algodão 6 - Rosa"
255,"conjuntos de lingerie, Lã Amigurumi  Brilho - Roxo Escuro, porta-copos, Lã Amigurumi  Brilho - Roxo Escuro"
256,"diversos, outros, Agulha de Crochê Tunisiano 5,5 mm"
257,"capas para livros, Agulha de Crochê 4,0 mm, capas para livros, Lã algodão 8 - Rosa Escuro, colares, Agulha de Crochê 4,0 mm, colares, Lã algodão 8 - Rosa Escuro"
258,"porta-copos, Chapéu de Festa, porta-copos, Focinho de Porco 18mm, porta-copos, Lã Amigurumi  Pelúcia - Vermelho Escuro"
259,"animais de pelucia, Bolinhas decorativas, animais de pelucia, Barbante Natural 2 - Roxo Escuro, animais de pelucia, Lã Amigurumi  Brilho - Azul Claro, saidas de praia, Bolinhas decorativas, saidas de praia, Barbante Natural 2 - Roxo Escuro, saidas de praia, Lã Amigurumi  Brilho - Azul Claro"
260,"babadores, Agulha de Crochê 4,0 mm, babadores, Barbante 8 - Verde Claro"
261,"jogos americanos, Boca de Boneca 15mm, jogos americanos, Lã Amigurumi  Pelúcia - Azul Escuro, jogos americanos, Lã Amigurumi  Pelúcia - Roxo Claro, bolsas, Boca de Boneca 15mm, bolsas, Lã Amigurumi  Pelúcia - Azul Escuro, bolsas, Lã Amigurumi  Pelúcia - Roxo Claro"
262,"animais de pelucia, Olhos de Cachorro de Botão 8mm, animais de pelucia, Focinho de Gato 8mm, animais de pelucia, Lã Amigurumi  Pelúcia - Cinza, animais de pelucia, Lã Amigurumi Soft - Rosa Escuro, golas, Olhos de Cachorro de Botão 8mm, golas, Focinho de Gato 8mm, golas, Lã Amigurumi  Pelúcia - Cinza, golas, Lã Amigurumi Soft - Rosa Escuro"
263,"cachecois, Boca de Cachorro 12mm, cachecois, Chapéu de Festa, cachecois, Lã Amigurumi Soft - Azul Claro, cortinas, Boca de Cachorro 12mm, cortinas, Chapéu de Festa, cortinas, Lã Amigurumi Soft - Azul Claro"
264,"animais de pelucia, Agulha de Crochê 4,0 mm, animais de pelucia, Barbante 8 - Amarelo Claro, animais de pelucia, Lã algodão 8 - Roxo Claro"
265,"amigurumis, Barbante Natural 2 - Roxo Claro, amigurumis, Lã Amigurumi Soft - Roxo Claro"
266,"tapetes de banheiro, Focinho de Gato 10mm, tapetes de banheiro, Lã Amigurumi Soft - Verde Claro"
267,"conjuntos de lingerie, Lã Amigurumi Soft - Cinza Escuro, conjuntos de lingerie, Lã Amigurumi  Pelúcia - Azul"
268,"cestas organizadoras, Barbante Natural 8 - Rosa Escuro"
269,"diversos, outros, Boca de Sorriso 20mm"
270,"meias, Olhos de Cachorro de Botão 8mm, meias, Olhos de Cachorro de Pelúcia 10mm, meias, Lã Amigurumi Soft - Roxo Claro, meias, Lã Amigurumi  Pelúcia - Rosa, xales, Olhos de Cachorro de Botão 8mm, xales, Olhos de Cachorro de Pelúcia 10mm, xales, Lã Amigurumi Soft - Roxo Claro, xales, Lã Amigurumi  Pelúcia - Rosa"
271,"porta-talheres, Focinho de Gato 8mm, porta-talheres, Chapéu de Palha, porta-talheres, Lã Amigurumi Soft - Azul, chapeus, Focinho de Gato 8mm, chapeus, Chapéu de Palha, chapeus, Lã Amigurumi Soft - Azul"
272,"panos de prato, Agulha de Crochê 4,0 mm, panos de prato, Lã algodão 4 - Laranja Escuro"
273,"golas, Óculos de Leitura, golas, Chapéu de Páscoa, golas, Lã Amigurumi Soft - Laranja Claro, toucas e sapatinhos para bebe, Óculos de Leitura, toucas e sapatinhos para bebe, Chapéu de Páscoa, toucas e sapatinhos para bebe, Lã Amigurumi Soft - Laranja Claro"
274,"capas para livros, Mini Gorros de Papai Noel, capas para livros, Barbante Natural 6 - Rosa Escuro, capas para livros, Barbante 4 - Cinza Claro, golas, Mini Gorros de Papai Noel, golas, Barbante Natural 6 - Rosa Escuro, golas, Barbante 4 - Cinza Claro"
275,"colares, Botas de Natal, colares, Mini Gorros de Papai Noel"
276,"tapetes, Óculos de Mergulho, tapetes, Lã Amigurumi  Pelúcia - Rosa Escuro, tapetes, Lã Amigurumi  Pelúcia - Cinza Claro, colares, Óculos de Mergulho, colares, Lã Amigurumi  Pelúcia - Rosa Escuro, colares, Lã Amigurumi  Pelúcia - Cinza Claro"
277,"tapetes, Guirlandas, tapetes, Barbante Natural 4 - Cinza Escuro"
278,"chapeus, Agulha de Crochê 4,0 mm, chapeus, Lã algodão 8 - Rosa"
279,"golas, Lã Amigurumi  - Preto, toalhas de mesa, Lã Amigurumi  - Preto"
280,"almofadas, Óculos de Esportes, almofadas, Lã Amigurumi  Pelúcia - Amarelo Claro, almofadas, Lã Amigurumi  Pelúcia - Cinza Escuro"
281,"bolsas de tablet/laptop, Agulha de Crochê 4,0 mm, bolsas de tablet/laptop, Lã algodão 8 - Rosa Claro, porta-toalhas, Agulha de Crochê 4,0 mm, porta-toalhas, Lã algodão 8 - Rosa Claro"
282,"jogos americanos, Pequenas Caixas de Presente, jogos americanos, Lã algodão 4 - Roxo Claro, jogos americanos, Barbante Natural 4 - Cinza Escuro, porta-sabonetes, Pequenas Caixas de Presente, porta-sabonetes, Lã algodão 4 - Roxo Claro, porta-sabonetes, Barbante Natural 4 - Cinza Escuro"
283,"gorros, Botão Pequeno Azul, gorros, Botão Pequeno Verde, coletes, Botão Pequeno Azul, coletes, Botão Pequeno Verde"
284,"cortinas, Lã algodão 8 - Amarelo, cortinas, Lã algodão 8 - Vermelho Claro, tapetes de banheiro, Lã algodão 8 - Amarelo, tapetes de banheiro, Lã algodão 8 - Vermelho Claro"
285,"enfeites para carrinho de bebe, Olhos de Cachorro de Pelúcia 12mm, enfeites para carrinho de bebe, Focinho de Gato 8mm, enfeites para carrinho de bebe, Lã Amigurumi Soft - Vermelho, enfeites para carrinho de bebe, Lã Amigurumi  Pelúcia - Amarelo, blusas, Olhos de Cachorro de Pelúcia 12mm, blusas, Focinho de Gato 8mm, blusas, Lã Amigurumi Soft - Vermelho, blusas, Lã Amigurumi  Pelúcia - Amarelo"
286,"coletes, Chapéu de Palha, coletes, Lã Amigurumi  Pelúcia - Cinza Escuro, mantas para bebe, Chapéu de Palha, mantas para bebe, Lã Amigurumi  Pelúcia - Cinza Escuro"
287,"coletes, Olhos de Cachorro de Pelúcia 12mm, coletes, Focinho de Gato 8mm, coletes, Lã Amigurumi  Pelúcia - Amarelo"
288,"capas para tampa de vaso, Focinho de Gato 10mm, capas para tampa de vaso, Boca de Sorriso 20mm, capas para tampa de vaso, Lã Amigurumi  Pelúcia - Roxo Claro, capas para tampa de vaso, Lã Amigurumi  Pelúcia - Roxo, mochilas, Focinho de Gato 10mm, mochilas, Boca de Sorriso 20mm, mochilas, Lã Amigurumi  Pelúcia - Roxo Claro, mochilas, Lã Amigurumi  Pelúcia - Roxo"
289,"bolsas, Olhos de Cachorro de Botão 6mm, bolsas, Lã Amigurumi Soft - Vermelho Escuro"
290,"cachecois, Focinho de Cachorro 10mm, cachecois, Focinho de Gato 8mm, cachecois, Lã Amigurumi Soft - Azul"
291,"capas para almofadas, Agulha de Crochê 4,0 mm, capas para almofadas, Lã algodão 8 - Rosa, cobertores, Agulha de Crochê 4,0 mm, cobertores, Lã algodão 8 - Rosa"
292,"mochilas, Agulha de Crochê 4,0 mm, mochilas, Barbante 8 - Rosa Escuro, mochilas, Lã algodão 8 - Laranja Escuro, diversos, outros, Agulha de Crochê 4,0 mm, diversos, outros, Barbante 8 - Rosa Escuro, diversos, outros, Lã algodão 8 - Laranja Escuro"
293,"enfeites para carrinho de bebe, Agulha de Crochê 4,0 mm, enfeites para carrinho de bebe, Barbante 4 - Vermelho Escuro, enfeites para carrinho de bebe, Barbante 4 - Amarelo Escuro, bolsas, Agulha de Crochê 4,0 mm, bolsas, Barbante 4 - Vermelho Escuro, bolsas, Barbante 4 - Amarelo Escuro"
294,"biquinis, Olhos de Cachorro de Botão 6mm, biquinis, Lã Amigurumi  Pelúcia - Roxo, biquinis, Lã Amigurumi  Pelúcia - Preto, porta-sabonetes, Olhos de Cachorro de Botão 6mm, porta-sabonetes, Lã Amigurumi  Pelúcia - Roxo, porta-sabonetes, Lã Amigurumi  Pelúcia - Preto"
295,"panos de prato, Barbante 2 - Cinza Escuro, enfeites para carrinho de bebe, Barbante 2 - Cinza Escuro"
296,"conjuntos de lingerie, Agulha de Crochê 4,0 mm, conjuntos de lingerie, Barbante 8 - Amarelo Escuro, conjuntos de lingerie, Lã algodão 8 - Azul"
297,"jogos americanos, Chapéu de Cowboy, jogos americanos, Lã Amigurumi Soft - Rosa Escuro, toalhas de mesa, Chapéu de Cowboy, toalhas de mesa, Lã Amigurumi Soft - Rosa Escuro"
298,"golas, Agulha de Crochê 5,5 mm"
299,"xales, Pequenas Caixas de Presente, xales, Lã Amigurumi  Pelúcia - Branco, capas para garrafas de agua quente, Pequenas Caixas de Presente, capas para garrafas de agua quente, Lã Amigurumi  Pelúcia - Branco"
300,"cortinas, Agulha de Crochê 4,0 mm, cortinas, Lã algodão 4 - Rosa, cortinas, Barbante 4 - Roxo Escuro, porta-copos, Agulha de Crochê 4,0 mm, porta-copos, Lã algodão 4 - Rosa, porta-copos, Barbante 4 - Roxo Escuro"
